,,Trident,Tasman,Gecko,WebKit,KHTML,Presto
<<<<<<< HEAD
Exception ExceptionVAL,,,,,,,
DOM3,code,,,,,,
Interface DocumentEditVAL,,,,,,,
DOM3,continuousValidityChecking,rowspan="4" ,rowspan="4" ,rowspan="4" ,rowspan="4" ,rowspan="4" ,rowspan="4" 
,domConfig,,,,,,
,getDefinedElements(),,,,,,
,validateDocument(),,,,,,
Interface NodeEditVAL,,,,,,,
DOM3,defaultValue,rowspan="7" ,rowspan="7" ,rowspan="7" ,rowspan="7" ,rowspan="7" ,rowspan="7" 
,enumeratedValues,,,,,,
,canInsertBefore(),,,,,,
,canRemoveChild(),,,,,,
,canReplaceChild(),,,,,,
,canAppendChild(),,,,,,
,nodeValidity(),,,,,,
Interface ElementEditVAL,,,,,,,
DOM3,allowedChildren,rowspan="17" ,rowspan="17" ,rowspan="17" ,rowspan="17" ,rowspan="17" ,rowspan="17" 
,allowedFirstChildren,,,,,,
,allowedParents,,,,,,
,allowedNextSiblings,,,,,,
,allowedPreviousSiblings,,,,,,
,allowedAttributes,,,,,,
,requiredAttributes,,,,,,
,contentType,,,,,,
,canSetTextContent,,,,,,
,canSetAttribute,,,,,,
,canSetAttributeNode,,,,,,
,canSetAttributeNS,,,,,,
,canRemoveAttribute,,,,,,
,canRemoveAttributeNS,,,,,,
,canRemoveAttributeNode,,,,,,
,isElementDefined,,,,,,
,isElementDefinedNS,,,,,,
Interface CharacterDataEditVAL,,,,,,,
DOM3,isWhitespaceOnly(),rowspan="6" ,rowspan="6" ,rowspan="6" ,rowspan="6" ,rowspan="6" ,rowspan="6" 
,canSetData(),,,,,,
,canAppendData(),,,,,,
,canReplaceData(),,,,,,
,canInsertData(),,,,,,
,canDeleteData(),,,,,,
=======
Exception LSException,,,,,,,
DOM3,code,,,,,,1.0
Interface DOMImplementationLS,,,,,,,
DOM3,createLSParser(),rowspan="4" ,rowspan="4" ,rowspan="4" ,rowspan="4" ,rowspan="4" ,rowspan="4" 1.0
,createLSSerializer(),,,,,,
,createLSInput(),,,,,,
,createLSOutput(),,,,,,
Interface LSParser,,,,,,,
DOM3,domConfig,rowspan="8" ,rowspan="8" ,rowspan="8" ,rowspan="8" ,rowspan="8" ,rowspan="8" 1.0
,filter,,,,,,
,async,,,,,,
,busy,,,,,,
,parse(),,,,,,
,parseURI(),,,,,,
,parseWithContext(),,,,,,
,abort(),,,,,,
Interface LSInput,,,,,,,
DOM3,characterStream,rowspan="8" ,rowspan="8" ,rowspan="8" ,rowspan="8" ,rowspan="8" ,rowspan="8" 1.0
,byteStream,,,,,,
,stringData,,,,,,
,systemId,,,,,,
,publicId,,,,,,
,baseURI,,,,,,
,encoding,,,,,,
,certifiedText,,,,,,
Interface LSResourceResolver,,,,,,,
DOM3,resolveResource(),,,,,,
Interface LSParserFilter,,,,,,,
DOM3,whatToShow,rowspan="3" ,rowspan="3" ,rowspan="3" ,rowspan="3" ,rowspan="3" ,
,startElement(),rowspan="2" 2.0,,,,,
,acceptNode(),,,,,,
Interface LSProgressEvent,,,,,,,
DOM3,input,rowspan="3" ,rowspan="3" ,rowspan="3" ,rowspan="3" ,rowspan="3" ,rowspan="3" 
,position,,,,,,
,totalSize,,,,,,
Interface LSLoadEvent,,,,,,,
DOM3,newDocument,rowspan="2" ,rowspan="2" ,rowspan="2" ,rowspan="2" ,rowspan="2" ,2.0
,input,,,,,,
Interface LSSerializer,,,,,,,
DOM3,domConfig,rowspan="6" ,rowspan="6" ,rowspan="6" ,rowspan="6" ,rowspan="6" ,rowspan="6" 1.0
,newLine,,,,,,
,filter,,,,,,
,write(),,,,,,
,writeToURI(),,,,,,
,writeToString(),,,,,,
Interface LSOutput,,,,,,,
DOM3,characterStream,rowspan="4" ,rowspan="4" ,rowspan="4" ,rowspan="4" ,rowspan="4" ,rowspan="4" 1.0
,byteStream,,,,,,
,systemId,,,,,,
,encoding,,,,,,
Interface LSSerializerFilter,,,,,,,
DOM3,whatToShow,,,,,,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
